seconds,working_set_bytes,private_bytes,os_peak_working_set_bytes
0.005905400001211092,1802240,405504,1802240
0.0263445999880787,14159872,7139328,14159872
0.04666019999422133,20934656,13819904,22884352
0.06725129998812918,26939392,20475904,31739904
0.08739989998866804,32686080,26464256,39710720
0.10759210000105668,38129664,35454976,51671040
0.12832419999176636,43184128,48930816,69611520
0.1488552999944659,49606656,48930816,69611520
0.16899269999703392,56094720,48930816,69611520
0.1891780000005383,59854848,69152768,96514048
0.20934359999955632,66146304,69152768,96514048
0.22962299999198876,72306688,69152768,96514048
0.2499334999884013,114839552,160141312,114839552
0.2704399999929592,80244736,99479552,136876032
0.29066109999257606,86405120,99479552,136876032
0.3112133999966318,92565504,99479552,136876032
0.3314042999991216,98791424,99479552,136876032
0.3518820999888703,105082880,99479552,136876032
0.37221750000026077,182693888,235966464,182693888
0.3927735999895958,110751744,144977920,197414912
0.4134260999999242,117108736,144977920,197414912
0.43375229999946896,123334656,144977920,197414912
0.4542327999952249,129626112,144977920,197414912
0.47463659998902585,136048640,144977920,197414912
0.49477019999176264,142340096,144977920,197414912
0.5153595000010682,148893696,144977920,197414912
0.535737500002142,204972032,349708288,204972032
0.5561753999936627,284860416,349708288,284860416
0.57641729999159,155385856,213221376,288231424
0.5965635999891674,161087488,213221376,288231424
0.617107699988992,166723584,213221376,288231424
0.6373784000024898,172687360,213221376,288231424
0.6578372999938438,178520064,213221376,288231424
0.6782000999955926,216240128,249454592,288231424
0.6987200000003213,290414592,323665920,290414592
0.7189589999907184,353095680,386138112,353095680
0.739690000002156,367468544,400683008,367468544
0.7599154999916209,370221056,403390464,370221056
0.7802129999909084,371339264,404189184,371339264
0.8008096999983536,373112832,404832256,373112832
0.8210472999926424,373661696,405405696,373661696
0.8414186000009067,373649408,405405696,373661696
0.861632300002384,374104064,405811200,374112256
0.8819230999943102,374108160,405811200,374112256
0.902314999999362,374185984,405811200,374185984
0.9225210000004154,374181888,405811200,374185984
0.943127699996694,374185984,405811200,374185984
0.9635714999894844,374177792,405811200,374185984
0.9837357999931555,374185984,405811200,374185984
1.0041552999900887,374235136,405946368,374235136
1.0246516999904998,374239232,405946368,374239232
1.044816900001024,374247424,405946368,374247424
1.0649955999979284,374267904,405946368,374267904
1.0855160999926738,374452224,406089728,374452224
1.1058371999970404,374448128,406089728,374452224
1.1260872999991989,374444032,406089728,374452224
1.1464971999957925,374439936,406089728,374452224
1.1669898999971338,374583296,406237184,374583296
1.1875381999998353,374587392,406237184,374587392
1.2081360000011045,374599680,406237184,374603776
1.2286031999974512,374599680,406237184,374603776
1.2489602999994531,374632448,406237184,374632448
1.2693398999981582,374636544,406237184,374636544
1.290014500002144,374644736,406237184,374652928
1.3105739000020549,374644736,406237184,374652928
1.330878799999482,374648832,406237184,374652928
1.351047699994524,374661120,406237184,374661120
1.3716410999913933,374697984,406237184,374697984
1.3920760999899358,374714368,406237184,374714368
1.412577399998554,374734848,406237184,374734848
1.4330300000001444,374734848,406237184,374734848
1.4534073999966495,374734848,406237184,374734848
1.4737868999945931,374734848,406237184,374734848
1.4941185999923619,374734848,406237184,374734848
1.5146572999947239,374734848,406237184,374734848
1.5350199999957113,374829056,406237184,374829056
1.5555790999933379,374841344,406237184,374841344
1.5763193000020692,374841344,406237184,374841344
1.5964729999977862,374841344,406237184,374841344
1.6168610000022454,374841344,406237184,374841344
