IMAGE 215520 67f80b46a321f60821e72646c5bb4e95724608caf938ddb1f78a7707d380fd73
-S ReaI/TC: Secondary CPU 2 switching to normal world boot

dy to Boot SeI/TC: Secondary CPU 3 initializing

c- oI/TC: Secondary CPU 3 switching to normal world boot

nRed aCdPy Ut
o
 BRKo35ot7 6Se cHCoRnd_ ELCP2-=U
 0R
R0eKa300d50y76 00t 0oH C0B0Ro_0E0o0tL2 00S=2e0c0
o
R00nKd305007 06C0 PUS0
0C
T0RL0K0R0_E2L3
51
=R76K003 H507C06R0_0 SEC00L32TL0=d0R_0000E80L100000=0
000
000-0 00B0000oo003t20 
fd
Rr00oK8m 0350E7L26


 
-SC BToLoR_tE Lf1=r0om00 E0L0020
0
30d00800

- Boot from EL2

hell (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Ini-t Bioaoltiz te
o
 C runtime for OS Initialize


PASS: REAL K7 NSH
