seconds,working_set_bytes,private_bytes,os_peak_working_set_bytes
0.004675000003771856,1802240,401408,1802240
0.024909500003559515,12935168,6008832,12935168
0.04540810000617057,19292160,12005376,20480000
0.06593729999440257,24723456,20439040,31703040
0.08614379999926314,30257152,26427392,39673856
0.10635360000014771,35287040,35422208,51634176
0.12695309999980964,41426944,35422208,51634176
0.1473950999934459,46108672,48898048,69574656
0.16779969999333844,52072448,48898048,69574656
0.18802030000369996,72675328,109563904,96477184
0.2084379000007175,62394368,69120000,96477184
0.22881089999282267,68882432,69120000,96477184
0.24916099999973085,75501568,69120000,96477184
0.2697898000042187,78675968,99446784,136839168
0.2899249000038253,85098496,99446784,136839168
0.31028439999499824,91586560,99446784,136839168
0.3304492000024766,98336768,99446784,136839168
0.35078409999550786,104955904,99446784,136839168
0.3713214000017615,106569728,144945152,197378048
0.3916352999949595,113287168,144945152,197378048
0.4121655000053579,120037376,144945152,197378048
0.43275520000315737,126853120,144945152,197378048
0.4531630999990739,133603328,144945152,197378048
0.47375649999594316,140156928,144945152,197378048
0.494258799997624,146513920,144945152,197378048
0.5144829000055324,171659264,349675520,197378048
0.5351071000040974,197804032,349675520,288194560
0.5557124000042677,158248960,213188608,288194560
0.576344799992512,164737024,213188608,288194560
0.5966765000048326,171290624,213188608,288194560
0.6169200000003912,177844224,213188608,288194560
0.6376039000024321,222445568,254865408,288194560
0.657886500004679,321015808,353902592,321015808
0.6786047000059625,365772800,398970880,365772800
0.6990633999957936,370348032,403480576,370348032
0.7197198999929242,372912128,404656128,372912128
0.7401762999943458,373481472,405315584,373481472
0.7606091000052402,373751808,405602304,373764096
0.7812463000009302,374226944,406007808,374226944
0.8014172999974107,374218752,406007808,374226944
0.8216998999996576,374292480,406007808,374292480
0.8421062999987043,374288384,406007808,374292480
0.862690299996757,374349824,406007808,374349824
0.8832574999978533,374349824,406007808,374349824
0.9038866000046255,374353920,406007808,374353920
0.9241923999943538,374370304,406007808,374370304
0.944637499997043,374362112,406007808,374374400
0.9650795000052312,374386688,406007808,374386688
0.985377699995297,374386688,406007808,374386688
1.0058165999944322,374386688,406007808,374386688
1.026441399997566,374382592,406007808,374386688
1.0469733999925666,374386688,406007808,374386688
1.0673935999948299,374382592,406007808,374386688
1.0879430000059074,374382592,406007808,374386688
1.1082050999975763,374370304,406007808,374386688
1.1288788999954704,374521856,406151168,374525952
1.1491593999962788,374525952,406151168,374525952
1.1698115000035614,374562816,406151168,374562816
1.1904375000012806,374583296,406151168,374583296
1.210991500003729,374583296,406151168,374583296
1.2313362999993842,374583296,406151168,374583296
1.2518412999925204,374587392,406151168,374587392
1.2724716999946395,374607872,406151168,374607872
1.2927049999998417,374632448,406151168,374632448
1.3132986999989953,374669312,406151168,374669312
1.3338310999970417,374669312,406151168,374669312
1.3543071000021882,374669312,406151168,374669312
1.374598499998683,374669312,406151168,374669312
1.3947632000054,374669312,406151168,374669312
1.414990699995542,374669312,406151168,374669312
1.435345599995344,374759424,406151168,374759424
1.455914699996356,374779904,406151168,374779904
1.4761924000049476,374779904,406151168,374779904
1.4964599999948405,374779904,406151168,374779904
1.5167025999980979,374779904,406151168,374779904
1.5369988000020385,374779904,406151168,374779904
1.557302899993374,374779904,406151168,374779904
1.5777029000018956,374779904,406151168,374779904
1.5981463999924017,374779904,406151168,374779904
1.6185423999995692,374779904,406151168,374779904
1.639002600000822,374779904,406151168,374779904
1.6594226000015624,374779904,406151168,374779904
1.6796316999971168,374779904,406151168,374779904
1.699805500000366,375623680,418414592,382009344
1.7200411999947391,380674048,450379776,383868928
1.7402979000034975,380502016,515207168,386023424
1.7606683000049088,446017536,581296128,446017536
1.7809053999953903,514199552,650072064,514199552
1.8013532000040868,377126912,474189824,538972160
1.8217494999989867,382820352,479809536,538972160
1.842199899998377,388014080,489799680,538972160
1.8624994999991031,409546752,516763648,538972160
1.8830126999964705,399806464,498786304,538972160
1.9035855999973137,404930560,512262144,538972160
1.923765400002594,411418624,512262144,538972160
1.9442798999953084,433954816,572923904,538972160
1.9647025000012945,422293504,532480000,538972160
1.985231600003317,428847104,532480000,538972160
2.0056186000001617,435138560,532480000,538972160
2.0261106999969343,437891072,562810880,538972160
2.0467296999995597,443957248,562810880,538972160
2.067030199992587,487088128,602902528,538972160
2.087599599995883,523030528,637747200,538972160
2.108247800002573,523407360,638087168,538972160
2.128495800003293,523689984,638345216,538972160
2.148759899995639,523722752,638345216,538972160
2.1689569000009215,523722752,638345216,538972160
2.189482300003874,523788288,638414848,538972160
2.209857399997418,523788288,638414848,538972160
2.2309587000054307,523788288,638414848,538972160
2.251459099992644,523788288,638414848,538972160
2.272031899992726,523788288,638414848,538972160
2.292415699994308,523800576,638414848,538972160
2.3130591999943135,523800576,638414848,538972160
2.3334474000002956,523800576,638414848,538972160
2.3536500000045635,523800576,638414848,538972160
2.373894200005452,523800576,638414848,538972160
2.3942555999965407,523923456,638500864,538972160
2.414703100002953,548536320,692080640,548536320
2.435135399995488,556605440,734707712,556605440
2.4554352999984985,527450112,685142016,599093248
2.4757284999941476,530169856,687374336,599093248
2.495878300003824,530268160,687423488,599093248
2.5161589000053937,530268160,687423488,599093248
2.5364774000045145,530563072,687685632,599093248
2.5568659999989904,530563072,687685632,599093248
2.5773749999934807,530583552,687706112,599093248
2.5976624000031734,530583552,687706112,599093248
2.6178241000015987,530583552,687706112,599093248
2.638128399994457,530583552,687706112,599093248
2.6585501999943517,530583552,687706112,599093248
2.678934299998218,530583552,687706112,599093248
2.6991188999963924,530583552,687706112,599093248
2.7197966999956407,530583552,687706112,599093248
2.7403644000005443,530583552,687706112,599093248
2.7611009999964153,530583552,687706112,599093248
2.781577300003846,530583552,687706112,599093248
2.801872199997888,530583552,687706112,599093248
2.8223334000067553,530599936,687718400,599093248
2.8426592000032542,530599936,687718400,599093248
2.8632423999952152,530599936,687718400,599093248
2.88353969999298,530599936,687718400,599093248
2.903975499997614,530599936,687718400,599093248
2.92436770000495,530599936,687718400,599093248
2.9448588999948697,530599936,687718400,599093248
2.965276899994933,530599936,687718400,599093248
2.9858605000044918,530599936,687718400,599093248
3.0063896000065142,530599936,687718400,599093248
3.026689100006479,530612224,687718400,599093248
3.0473047999985283,530612224,687718400,599093248
3.067725500004599,530612224,687718400,599093248
3.088068700002623,375406592,469721088,599093248
3.1087229999975534,34250752,24756224,599093248
3.1291207000031136,24604672,15912960,599093248
3.149616499998956,24604672,15912960,599093248
3.1700200000050245,24604672,15912960,599093248
3.1904085999995004,24604672,15912960,599093248
3.210964400001103,24604672,15912960,599093248
3.2313219999923604,24604672,15912960,599093248
3.2518925000040326,24604672,15912960,599093248
3.2724471999972593,24604672,15912960,599093248
