CRC VERIFIED 536576/2524368 (153.2s)
CRC VERIFIED 540672/2524368 (154.4s)
CRC VERIFIED 544768/2524368 (155.6s)
CRC VERIFIED 548864/2524368 (156.8s)
CRC VERIFIED 552960/2524368 (158.0s)
CRC VERIFIED 557056/2524368 (159.2s)
CRC VERIFIED 561152/2524368 (160.4s)
CRC VERIFIED 565248/2524368 (161.6s)
CRC VERIFIED 569344/2524368 (162.8s)
CRC VERIFIED 573440/2524368 (164.0s)
CRC VERIFIED 577536/2524368 (165.2s)
CRC VERIFIED 581632/2524368 (166.4s)
CRC VERIFIED 585728/2524368 (167.6s)
CRC VERIFIED 589824/2524368 (168.8s)
CRC VERIFIED 593920/2524368 (170.0s)
CRC VERIFIED 598016/2524368 (171.2s)
CRC VERIFIED 602112/2524368 (172.4s)
CRC VERIFIED 606208/2524368 (173.6s)
CRC VERIFIED 610304/2524368 (174.8s)
CRC VERIFIED 614400/2524368 (176.0s)
CRC VERIFIED 618496/2524368 (177.2s)
CRC VERIFIED 622592/2524368 (178.4s)
CRC VERIFIED 626688/2524368 (179.6s)
CRC VERIFIED 630784/2524368 (180.8s)
CRC VERIFIED 634880/2524368 (182.0s)
CRC VERIFIED 638976/2524368 (183.1s)
CRC VERIFIED 643072/2524368 (184.4s)
CRC VERIFIED 647168/2524368 (185.5s)
CRC VERIFIED 651264/2524368 (186.8s)
CRC VERIFIED 655360/2524368 (188.0s)
CRC VERIFIED 659456/2524368 (189.2s)
CRC VERIFIED 663552/2524368 (190.4s)
CRC VERIFIED 667648/2524368 (191.6s)
CRC VERIFIED 671744/2524368 (192.8s)
CRC VERIFIED 675840/2524368 (194.0s)
CRC VERIFIED 679936/2524368 (195.1s)
CRC VERIFIED 684032/2524368 (196.3s)
CRC VERIFIED 688128/2524368 (197.5s)
CRC VERIFIED 692224/2524368 (198.8s)
CRC VERIFIED 696320/2524368 (200.0s)
CRC VERIFIED 700416/2524368 (201.2s)
CRC VERIFIED 704512/2524368 (202.4s)
CRC VERIFIED 708608/2524368 (203.6s)
CRC VERIFIED 712704/2524368 (204.8s)
CRC VERIFIED 716800/2524368 (206.0s)
CRC VERIFIED 720896/2524368 (207.1s)
CRC VERIFIED 724992/2524368 (208.3s)
CRC VERIFIED 729088/2524368 (209.6s)
CRC VERIFIED 733184/2524368 (210.8s)
CRC VERIFIED 737280/2524368 (212.0s)
CRC VERIFIED 741376/2524368 (213.2s)
CRC VERIFIED 745472/2524368 (214.4s)
CRC VERIFIED 749568/2524368 (215.6s)
CRC VERIFIED 753664/2524368 (216.8s)
CRC VERIFIED 757760/2524368 (218.0s)
CRC VERIFIED 761856/2524368 (219.2s)
CRC VERIFIED 765952/2524368 (220.4s)
CRC VERIFIED 770048/2524368 (221.6s)
CRC VERIFIED 774144/2524368 (222.8s)
CRC VERIFIED 778240/2524368 (224.0s)
CRC VERIFIED 782336/2524368 (225.2s)
CRC VERIFIED 786432/2524368 (226.4s)
CRC VERIFIED 790528/2524368 (227.6s)
CRC VERIFIED 794624/2524368 (228.8s)
CRC VERIFIED 798720/2524368 (230.0s)
CRC VERIFIED 802816/2524368 (231.2s)
CRC VERIFIED 806912/2524368 (232.4s)
CRC VERIFIED 811008/2524368 (233.6s)
CRC VERIFIED 815104/2524368 (234.8s)
CRC VERIFIED 819200/2524368 (236.0s)
CRC VERIFIED 823296/2524368 (237.2s)
CRC VERIFIED 827392/2524368 (238.4s)
CRC VERIFIED 831488/2524368 (239.5s)
CRC VERIFIED 835584/2524368 (240.8s)
CRC VERIFIED 839680/2524368 (242.0s)
CRC VERIFIED 843776/2524368 (243.2s)
CRC VERIFIED 847872/2524368 (244.4s)
CRC VERIFIED 851968/2524368 (245.6s)
CRC VERIFIED 856064/2524368 (246.8s)
CRC VERIFIED 860160/2524368 (248.0s)
CRC VERIFIED 864256/2524368 (249.2s)
CRC VERIFIED 868352/2524368 (250.4s)
CRC VERIFIED 872448/2524368 (251.5s)
CRC VERIFIED 876544/2524368 (252.7s)
CRC VERIFIED 880640/2524368 (253.9s)
CRC VERIFIED 884736/2524368 (255.1s)
CRC VERIFIED 888832/2524368 (256.3s)
RAM REUSE VERIFIED 888832
RAM REUSE VERIFIED 892928
RAM REUSE VERIFIED 897024
RAM REUSE VERIFIED 901120
RAM REUSE VERIFIED 905216
RAM REUSE VERIFIED 909312
RAM REUSE VERIFIED 913408
RAM REUSE VERIFIED 917504
RAM REUSE VERIFIED 921600
CRC VERIFIED 929792/2524368 (258.1s)
CRC VERIFIED 933888/2524368 (259.3s)
CRC VERIFIED 937984/2524368 (260.5s)
CRC VERIFIED 942080/2524368 (261.6s)
CRC VERIFIED 946176/2524368 (262.8s)
CRC VERIFIED 950272/2524368 (264.0s)
CRC VERIFIED 954368/2524368 (265.2s)
CRC VERIFIED 958464/2524368 (266.4s)
CRC VERIFIED 962560/2524368 (267.6s)
RAM REUSE VERIFIED 962560
RAM REUSE VERIFIED 966656
RAM REUSE VERIFIED 970752
CRC VERIFIED 978944/2524368 (269.0s)
CRC VERIFIED 983040/2524368 (270.2s)
CRC VERIFIED 987136/2524368 (271.4s)
CRC VERIFIED 991232/2524368 (272.6s)
CRC VERIFIED 995328/2524368 (273.8s)
CRC VERIFIED 999424/2524368 (275.0s)
CRC VERIFIED 1003520/2524368 (276.2s)
CRC VERIFIED 1007616/2524368 (277.4s)
CRC VERIFIED 1011712/2524368 (278.6s)
CRC VERIFIED 1015808/2524368 (279.8s)
CRC VERIFIED 1019904/2524368 (281.0s)
CRC VERIFIED 1024000/2524368 (282.2s)
CRC VERIFIED 1028096/2524368 (283.4s)
CRC VERIFIED 1032192/2524368 (284.7s)
CRC VERIFIED 1036288/2524368 (285.9s)
CRC VERIFIED 1040384/2524368 (287.1s)
CRC VERIFIED 1044480/2524368 (288.3s)
CRC VERIFIED 1048576/2524368 (289.5s)
CRC VERIFIED 1052672/2524368 (290.7s)
CRC VERIFIED 1056768/2524368 (291.9s)
CRC VERIFIED 1060864/2524368 (293.0s)
CRC VERIFIED 1064960/2524368 (294.2s)
CRC VERIFIED 1069056/2524368 (295.4s)
CRC VERIFIED 1073152/2524368 (296.6s)
CRC VERIFIED 1077248/2524368 (297.8s)
CRC VERIFIED 1081344/2524368 (299.0s)
CRC VERIFIED 1085440/2524368 (300.2s)
CRC VERIFIED 1089536/2524368 (301.4s)
CRC VERIFIED 1093632/2524368 (302.6s)
CRC VERIFIED 1097728/2524368 (303.8s)
CRC VERIFIED 1101824/2524368 (305.0s)
CRC VERIFIED 1105920/2524368 (306.2s)
CRC VERIFIED 1110016/2524368 (306.5s)
CRC VERIFIED 1114112/2524368 (306.6s)
CRC VERIFIED 1118208/2524368 (307.2s)
CRC VERIFIED 1122304/2524368 (308.4s)
RAM REUSE VERIFIED 1122304
RAM REUSE VERIFIED 1126400
RAM REUSE VERIFIED 1130496
RAM REUSE VERIFIED 1134592
RAM REUSE VERIFIED 1138688
RAM REUSE VERIFIED 1142784
RAM REUSE VERIFIED 1146880
CRC VERIFIED 1155072/2524368 (310.0s)
CRC VERIFIED 1159168/2524368 (311.2s)
RAM REUSE VERIFIED 1159168
RAM REUSE VERIFIED 1163264
CRC VERIFIED 1171456/2524368 (312.5s)
CRC VERIFIED 1175552/2524368 (313.7s)
RAM REUSE VERIFIED 1175552
RAM REUSE VERIFIED 1179648
RAM REUSE VERIFIED 1183744
RAM REUSE VERIFIED 1187840
RAM REUSE VERIFIED 1191936
RAM REUSE VERIFIED 1196032
CRC VERIFIED 1204224/2524368 (315.3s)
RAM REUSE VERIFIED 1204224
RAM REUSE VERIFIED 1208320
RAM REUSE VERIFIED 1212416
RAM REUSE VERIFIED 1216512
CRC VERIFIED 1224704/2524368 (316.6s)
CRC VERIFIED 1228800/2524368 (317.6s)
CRC VERIFIED 1232896/2524368 (318.4s)
CRC VERIFIED 1236992/2524368 (319.3s)
CRC VERIFIED 1241088/2524368 (320.2s)
RAM REUSE VERIFIED 1241088
RAM REUSE VERIFIED 1245184
RAM REUSE VERIFIED 1249280
RAM REUSE VERIFIED 1253376
RAM REUSE VERIFIED 1257472
RAM REUSE VERIFIED 1261568
RAM REUSE VERIFIED 1265664
RAM REUSE VERIFIED 1269760
CRC VERIFIED 1277952/2524368 (321.7s)
RAM REUSE VERIFIED 1277952
RAM REUSE VERIFIED 1282048
RAM REUSE VERIFIED 1286144
RAM REUSE VERIFIED 1290240
RAM REUSE VERIFIED 1294336
RAM REUSE VERIFIED 1298432
RAM REUSE VERIFIED 1302528
RAM REUSE VERIFIED 1306624
RAM REUSE VERIFIED 1310720
RAM REUSE VERIFIED 1314816
RAM REUSE VERIFIED 1318912
RAM REUSE VERIFIED 1323008
RAM REUSE VERIFIED 1327104
RAM REUSE VERIFIED 1331200
RAM REUSE VERIFIED 1335296
RAM REUSE VERIFIED 1339392
RAM REUSE VERIFIED 1343488
RAM REUSE VERIFIED 1347584
RAM REUSE VERIFIED 1351680
RAM REUSE VERIFIED 1355776
RAM REUSE VERIFIED 1359872
RAM REUSE VERIFIED 1363968
RAM REUSE VERIFIED 1368064
RAM REUSE VERIFIED 1372160
RAM REUSE VERIFIED 1376256
RAM REUSE VERIFIED 1380352
RAM REUSE VERIFIED 1384448
RAM REUSE VERIFIED 1388544
RAM REUSE VERIFIED 1392640
RAM REUSE VERIFIED 1396736
RAM REUSE VERIFIED 1400832
RAM REUSE VERIFIED 1404928
RAM REUSE VERIFIED 1409024
RAM REUSE VERIFIED 1413120
RAM REUSE VERIFIED 1417216
RAM REUSE VERIFIED 1421312
RAM REUSE VERIFIED 1425408
RAM REUSE VERIFIED 1429504
RAM REUSE VERIFIED 1433600
RAM REUSE VERIFIED 1437696
RAM REUSE VERIFIED 1441792
RAM REUSE VERIFIED 1445888
RAM REUSE VERIFIED 1449984
RAM REUSE VERIFIED 1454080
RAM REUSE VERIFIED 1458176
RAM REUSE VERIFIED 1462272
RAM REUSE VERIFIED 1466368
RAM REUSE VERIFIED 1470464
RAM REUSE VERIFIED 1474560
RAM REUSE VERIFIED 1478656
RAM REUSE VERIFIED 1482752
RAM REUSE VERIFIED 1486848
RAM REUSE VERIFIED 1490944
RAM REUSE VERIFIED 1495040
RAM REUSE VERIFIED 1499136
RAM REUSE VERIFIED 1503232
RAM REUSE VERIFIED 1507328
RAM REUSE VERIFIED 1511424
RAM REUSE VERIFIED 1515520
RAM REUSE VERIFIED 1519616
RAM REUSE VERIFIED 1523712
RAM REUSE VERIFIED 1527808
RAM REUSE VERIFIED 1531904
RAM REUSE VERIFIED 1536000
RAM REUSE VERIFIED 1540096
RAM REUSE VERIFIED 1544192
RAM REUSE VERIFIED 1548288
RAM REUSE VERIFIED 1552384
RAM REUSE VERIFIED 1556480
RAM REUSE VERIFIED 1560576
RAM REUSE VERIFIED 1564672
RAM REUSE VERIFIED 1568768
RAM REUSE VERIFIED 1572864
RAM REUSE VERIFIED 1576960
RAM REUSE VERIFIED 1581056
RAM REUSE VERIFIED 1585152
RAM REUSE VERIFIED 1589248
RAM REUSE VERIFIED 1593344
RAM REUSE VERIFIED 1597440
RAM REUSE VERIFIED 1601536
RAM REUSE VERIFIED 1605632
RAM REUSE VERIFIED 1609728
RAM REUSE VERIFIED 1613824
RAM REUSE VERIFIED 1617920
RAM REUSE VERIFIED 1622016
RAM REUSE VERIFIED 1626112
RAM REUSE VERIFIED 1630208
RAM REUSE VERIFIED 1634304
RAM REUSE VERIFIED 1638400
RAM REUSE VERIFIED 1642496
RAM REUSE VERIFIED 1646592
RAM REUSE VERIFIED 1650688
RAM REUSE VERIFIED 1654784
RAM REUSE VERIFIED 1658880
RAM REUSE VERIFIED 1662976
RAM REUSE VERIFIED 1667072
RAM REUSE VERIFIED 1671168
RAM REUSE VERIFIED 1675264
RAM REUSE VERIFIED 1679360
RAM REUSE VERIFIED 1683456
RAM REUSE VERIFIED 1687552
RAM REUSE VERIFIED 1691648
RAM REUSE VERIFIED 1695744
RAM REUSE VERIFIED 1699840
RAM REUSE VERIFIED 1703936
RAM REUSE VERIFIED 1708032
RAM REUSE VERIFIED 1712128
RAM REUSE VERIFIED 1716224
RAM REUSE VERIFIED 1720320
RAM REUSE VERIFIED 1724416
RAM REUSE VERIFIED 1728512
RAM REUSE VERIFIED 1732608
RAM REUSE VERIFIED 1736704
RAM REUSE VERIFIED 1740800
RAM REUSE VERIFIED 1744896
RAM REUSE VERIFIED 1748992
RAM REUSE VERIFIED 1753088
RAM REUSE VERIFIED 1757184
RAM REUSE VERIFIED 1761280
RAM REUSE VERIFIED 1765376
RAM REUSE VERIFIED 1769472
RAM REUSE VERIFIED 1773568
RAM REUSE VERIFIED 1777664
RAM REUSE VERIFIED 1781760
RAM REUSE VERIFIED 1785856
RAM REUSE VERIFIED 1789952
RAM REUSE VERIFIED 1794048
RAM REUSE VERIFIED 1798144
RAM REUSE VERIFIED 1802240
RAM REUSE VERIFIED 1806336
RAM REUSE VERIFIED 1810432
RAM REUSE VERIFIED 1814528
RAM REUSE VERIFIED 1818624
RAM REUSE VERIFIED 1822720
RAM REUSE VERIFIED 1826816
RAM REUSE VERIFIED 1830912
RAM REUSE VERIFIED 1835008
RAM REUSE VERIFIED 1839104
RAM REUSE VERIFIED 1843200
RAM REUSE VERIFIED 1847296
RAM REUSE VERIFIED 1851392
RAM REUSE VERIFIED 1855488
RAM REUSE VERIFIED 1859584
RAM REUSE VERIFIED 1863680
RAM REUSE VERIFIED 1867776
RAM REUSE VERIFIED 1871872
RAM REUSE VERIFIED 1875968
RAM REUSE VERIFIED 1880064
RAM REUSE VERIFIED 1884160
RAM REUSE VERIFIED 1888256
RAM REUSE VERIFIED 1892352
RAM REUSE VERIFIED 1896448
RAM REUSE VERIFIED 1900544
RAM REUSE VERIFIED 1904640
RAM REUSE VERIFIED 1908736
RAM REUSE VERIFIED 1912832
RAM REUSE VERIFIED 1916928
RAM REUSE VERIFIED 1921024
RAM REUSE VERIFIED 1925120
RAM REUSE VERIFIED 1929216
RAM REUSE VERIFIED 1933312
RAM REUSE VERIFIED 1937408
RAM REUSE VERIFIED 1941504
RAM REUSE VERIFIED 1945600
RAM REUSE VERIFIED 1949696
RAM REUSE VERIFIED 1953792
RAM REUSE VERIFIED 1957888
RAM REUSE VERIFIED 1961984
RAM REUSE VERIFIED 1966080
RAM REUSE VERIFIED 1970176
RAM REUSE VERIFIED 1974272
RAM REUSE VERIFIED 1978368
RAM REUSE VERIFIED 1982464
RAM REUSE VERIFIED 1986560
