seconds,working_set_bytes,private_bytes,os_peak_working_set_bytes
0.005717500011087395,1802240,405504,1802240
0.026187000010395423,14135296,7127040,14135296
0.046531800006050617,24334336,21843968,24334336
0.06697040000290144,27742208,20508672,31764480
0.08730980000109412,40497152,53460992,40497152
0.10781159999896772,40312832,35487744,51695616
0.12821520000579767,45801472,48967680,69636096
0.14838950001285411,85897216,88633344,86138880
0.16879039999912493,96145408,98942976,96145408
0.18935880000935867,98762752,100130816,98762752
0.20959250000305474,99545088,100999168,99545088
0.23012110000126995,99553280,100999168,99565568
0.2505509000038728,99581952,100999168,99586048
0.27112630000920035,99790848,100999168,99790848
0.29160300000512507,99819520,100999168,99819520
0.3120233000081498,99893248,100999168,99893248
0.33254950000264216,99889152,100999168,99893248
0.3531927000003634,99889152,100999168,99893248
0.3736199000122724,99909632,100999168,99909632
0.39399080000293907,99905536,100999168,99909632
0.41472760000033304,99921920,100999168,99921920
0.43515730000217445,99926016,100999168,99926016
0.455783600002178,99930112,100999168,99930112
0.4763066000014078,99921920,100999168,99930112
0.4965282000048319,99921920,100999168,99930112
0.5167645000037737,99921920,100999168,99930112
0.5374301000119885,99921920,100999168,99930112
0.5582127000088803,99921920,100999168,99930112
0.5785671000048751,99917824,100999168,99930112
0.5989369000017177,99934208,100999168,99934208
0.6192757000098936,99950592,100999168,99950592
0.6396910000039497,99954688,100999168,99962880
0.6599585000076331,99966976,100999168,99966976
0.6805903000058606,99991552,100999168,99991552
0.7010613000020385,100007936,100999168,100007936
0.72167550001177,100016128,100999168,100016128
0.7421861000038916,100016128,100999168,100016128
0.7626201000093715,100016128,100999168,100016128
0.782997800008161,100016128,100999168,100016128
0.8036813000071561,100016128,100999168,100016128
0.8240594000089914,100016128,100999168,100016128
0.8443987000064226,100016128,100999168,100016128
0.8649956000008387,100065280,100999168,100065280
0.885583700001007,100114432,101003264,100114432
0.9060951999999816,100114432,101003264,100114432
0.9264040999987628,100114432,101003264,100114432
0.9470540000038454,100114432,101003264,100114432
0.9673456000018632,102273024,113414144,105459712
0.9875724000012269,78200832,69849088,107556864
1.0080305000010412,80216064,71979008,107556864
1.028325200008112,82522112,74403840,107556864
1.0487053000106243,83951616,75927552,107556864
1.0692762000107905,86634496,78725120,107556864
1.0897011000051862,90427392,82628608,107556864
1.1100363000005018,98525184,90546176,107556864
1.1306833999988157,98590720,90546176,107556864
1.1512554000073578,100597760,92614656,107556864
1.1717578000098001,101154816,93429760,107556864
1.1922391000116477,105410560,97267712,107556864
1.2125501000118675,106745856,98643968,107556864
1.23322090000147,111742976,103665664,111742976
1.253669900004752,111759360,103669760,111759360
1.274207300011767,113360896,106123264,113360896
1.294707400011248,113369088,106123264,113369088
1.3150040000036824,117501952,109592576,117501952
1.3352069000102347,117772288,109867008,117772288
1.3555756999994628,121815040,114044928,121815040
1.3760668000031728,123125760,115421184,123125760
1.3966141999990214,127250432,119443456,127250432
1.4168473000027006,127254528,119443456,127254528
1.4371039000106975,132542464,124719104,132542464
1.4576382000086596,132546560,124719104,132546560
1.4780902000056813,135802880,127979520,135802880
1.4982892000116408,135802880,127979520,135802880
1.5185821000050055,141983744,134066176,141983744
1.5392327000008663,141983744,134066176,141983744
1.5596751000121003,141991936,134066176,141991936
1.5801801000052365,145985536,138100736,145985536
1.6004717000032542,145985536,138100736,145985536
1.620915999999852,150163456,142282752,150163456
1.641106499999296,150163456,142282752,150163456
1.661472899999353,154075136,146214912,154075136
1.6816717000037897,154083328,146214912,154083328
1.702279000004637,159322112,151547904,159322112
1.7229136000096332,159326208,151547904,159326208
1.7431733000121312,159330304,151547904,159330304
1.7634926000027917,164859904,157130752,164859904
1.7838011999992887,164859904,157130752,164859904
1.804080600006273,169574400,161861632,169574400
1.8244705000106478,169574400,161861632,169574400
1.844626200007042,169578496,161861632,169578496
1.86478960000386,174104576,166404096,174104576
