IMAGE 2532560 4b4ee06366ff7cb9d3959ec6f16dc206bf7474cf4466e596f891547261aa925b
RESUME: preserved snapshot; destination and source blocks require CRC
STAGE openvela 0x40400000 2532560
CRC VERIFIED 688128/2532560 (2.6s)
CRC VERIFIED 692224/2532560 (2.7s)
CRC VERIFIED 696320/2532560 (2.7s)
CRC VERIFIED 700416/2532560 (2.7s)
CRC VERIFIED 704512/2532560 (2.7s)
CRC VERIFIED 708608/2532560 (2.7s)
CRC VERIFIED 712704/2532560 (2.7s)
CRC VERIFIED 716800/2532560 (2.8s)
CRC VERIFIED 720896/2532560 (2.8s)
CRC VERIFIED 724992/2532560 (2.8s)
CRC VERIFIED 729088/2532560 (2.8s)
CRC VERIFIED 733184/2532560 (2.8s)
CRC VERIFIED 737280/2532560 (2.8s)
CRC VERIFIED 741376/2532560 (2.9s)
CRC VERIFIED 745472/2532560 (2.9s)
CRC VERIFIED 749568/2532560 (2.9s)
CRC VERIFIED 753664/2532560 (2.9s)
CRC VERIFIED 757760/2532560 (2.9s)
CRC VERIFIED 761856/2532560 (2.9s)
CRC VERIFIED 765952/2532560 (3.0s)
CRC VERIFIED 770048/2532560 (3.0s)
CRC VERIFIED 774144/2532560 (3.0s)
CRC VERIFIED 778240/2532560 (3.0s)
CRC VERIFIED 782336/2532560 (3.0s)
CRC VERIFIED 786432/2532560 (3.0s)
CRC VERIFIED 790528/2532560 (3.0s)
CRC VERIFIED 794624/2532560 (3.1s)
CRC VERIFIED 798720/2532560 (3.1s)
CRC VERIFIED 802816/2532560 (3.1s)
CRC VERIFIED 806912/2532560 (3.1s)
CRC VERIFIED 811008/2532560 (3.1s)
CRC VERIFIED 815104/2532560 (3.1s)
CRC VERIFIED 819200/2532560 (3.2s)
CRC VERIFIED 823296/2532560 (3.2s)
CRC VERIFIED 827392/2532560 (3.2s)
CRC VERIFIED 831488/2532560 (3.2s)
CRC VERIFIED 835584/2532560 (3.2s)
CRC VERIFIED 839680/2532560 (3.2s)
CRC VERIFIED 843776/2532560 (3.2s)
CRC VERIFIED 847872/2532560 (3.3s)
CRC VERIFIED 851968/2532560 (3.3s)
CRC VERIFIED 856064/2532560 (3.3s)
CRC VERIFIED 860160/2532560 (3.3s)
CRC VERIFIED 864256/2532560 (3.3s)
CRC VERIFIED 868352/2532560 (3.3s)
CRC VERIFIED 872448/2532560 (3.4s)
CRC VERIFIED 876544/2532560 (3.4s)
CRC VERIFIED 880640/2532560 (3.4s)
CRC VERIFIED 884736/2532560 (3.4s)
CRC VERIFIED 888832/2532560 (3.4s)
CRC VERIFIED 892928/2532560 (3.4s)
CRC VERIFIED 897024/2532560 (3.5s)
CRC VERIFIED 901120/2532560 (3.5s)
CRC VERIFIED 905216/2532560 (3.5s)
CRC VERIFIED 909312/2532560 (3.5s)
CRC VERIFIED 913408/2532560 (3.5s)
CRC VERIFIED 917504/2532560 (3.5s)
CRC VERIFIED 921600/2532560 (3.5s)
CRC VERIFIED 925696/2532560 (3.6s)
CRC VERIFIED 929792/2532560 (3.6s)
CRC VERIFIED 933888/2532560 (3.6s)
CRC VERIFIED 937984/2532560 (3.6s)
CRC VERIFIED 942080/2532560 (3.6s)
CRC VERIFIED 946176/2532560 (3.6s)
CRC VERIFIED 950272/2532560 (3.7s)
CRC VERIFIED 954368/2532560 (3.7s)
CRC VERIFIED 958464/2532560 (3.7s)
CRC VERIFIED 962560/2532560 (3.7s)
CRC VERIFIED 966656/2532560 (3.7s)
CRC VERIFIED 970752/2532560 (3.7s)
CRC VERIFIED 974848/2532560 (3.8s)
CRC VERIFIED 978944/2532560 (3.8s)
CRC VERIFIED 983040/2532560 (3.8s)
CRC VERIFIED 987136/2532560 (3.8s)
CRC VERIFIED 991232/2532560 (3.8s)
CRC VERIFIED 995328/2532560 (3.8s)
CRC VERIFIED 999424/2532560 (3.8s)
CRC VERIFIED 1003520/2532560 (3.9s)
CRC VERIFIED 1007616/2532560 (3.9s)
CRC VERIFIED 1011712/2532560 (3.9s)
CRC VERIFIED 1015808/2532560 (3.9s)
CRC VERIFIED 1019904/2532560 (3.9s)
CRC VERIFIED 1024000/2532560 (3.9s)
CRC VERIFIED 1028096/2532560 (4.0s)
CRC VERIFIED 1032192/2532560 (4.0s)
CRC VERIFIED 1036288/2532560 (4.0s)
CRC VERIFIED 1040384/2532560 (4.0s)
CRC VERIFIED 1044480/2532560 (4.0s)
CRC VERIFIED 1048576/2532560 (4.0s)
CRC VERIFIED 1052672/2532560 (4.0s)
CRC VERIFIED 1056768/2532560 (4.1s)
CRC VERIFIED 1060864/2532560 (4.1s)
CRC VERIFIED 1064960/2532560 (4.1s)
CRC VERIFIED 1069056/2532560 (4.1s)
CRC VERIFIED 1073152/2532560 (4.1s)
CRC VERIFIED 1077248/2532560 (4.1s)
CRC VERIFIED 1081344/2532560 (4.2s)
CRC VERIFIED 1085440/2532560 (4.2s)
CRC VERIFIED 1089536/2532560 (4.2s)
CRC VERIFIED 1093632/2532560 (4.2s)
CRC VERIFIED 1097728/2532560 (4.2s)
CRC VERIFIED 1101824/2532560 (4.2s)
CRC VERIFIED 1105920/2532560 (4.2s)
CRC VERIFIED 1110016/2532560 (4.3s)
CRC VERIFIED 1114112/2532560 (4.3s)
CRC VERIFIED 1118208/2532560 (4.3s)
CRC VERIFIED 1122304/2532560 (4.3s)
CRC VERIFIED 1126400/2532560 (4.3s)
CRC VERIFIED 1130496/2532560 (4.3s)
CRC VERIFIED 1134592/2532560 (4.4s)
CRC VERIFIED 1138688/2532560 (4.4s)
CRC VERIFIED 1142784/2532560 (4.4s)
CRC VERIFIED 1146880/2532560 (4.4s)
CRC VERIFIED 1150976/2532560 (4.4s)
CRC VERIFIED 1155072/2532560 (4.4s)
CRC VERIFIED 1159168/2532560 (4.5s)
CRC VERIFIED 1163264/2532560 (4.5s)
CRC VERIFIED 1167360/2532560 (4.5s)
CRC VERIFIED 1171456/2532560 (4.5s)
CRC VERIFIED 1175552/2532560 (4.5s)
CRC VERIFIED 1179648/2532560 (4.5s)
CRC VERIFIED 1183744/2532560 (4.5s)
CRC VERIFIED 1187840/2532560 (4.6s)
CRC VERIFIED 1191936/2532560 (4.6s)
CRC VERIFIED 1196032/2532560 (4.6s)
CRC VERIFIED 1200128/2532560 (4.6s)
CRC VERIFIED 1204224/2532560 (4.6s)
CRC VERIFIED 1208320/2532560 (4.6s)
CRC VERIFIED 1212416/2532560 (4.7s)
CRC VERIFIED 1216512/2532560 (4.7s)
CRC VERIFIED 1220608/2532560 (4.7s)
CRC VERIFIED 1224704/2532560 (4.7s)
CRC VERIFIED 1228800/2532560 (4.7s)
CRC VERIFIED 1232896/2532560 (4.7s)
CRC VERIFIED 1236992/2532560 (4.8s)
CRC VERIFIED 1241088/2532560 (4.8s)
CRC VERIFIED 1245184/2532560 (4.8s)
CRC VERIFIED 1249280/2532560 (4.8s)
CRC VERIFIED 1253376/2532560 (4.8s)
CRC VERIFIED 1257472/2532560 (4.8s)
CRC VERIFIED 1261568/2532560 (4.8s)
CRC VERIFIED 1265664/2532560 (4.9s)
CRC VERIFIED 1269760/2532560 (4.9s)
CRC VERIFIED 1273856/2532560 (4.9s)
CRC VERIFIED 1277952/2532560 (4.9s)
CRC VERIFIED 1282048/2532560 (4.9s)
CRC VERIFIED 1286144/2532560 (4.9s)
CRC VERIFIED 1290240/2532560 (5.0s)
CRC VERIFIED 1294336/2532560 (5.0s)
CRC VERIFIED 1298432/2532560 (5.0s)
CRC VERIFIED 1302528/2532560 (5.0s)
CRC VERIFIED 1306624/2532560 (5.0s)
CRC VERIFIED 1310720/2532560 (5.0s)
CRC VERIFIED 1314816/2532560 (5.0s)
CRC VERIFIED 1318912/2532560 (5.1s)
CRC VERIFIED 1323008/2532560 (5.1s)
CRC VERIFIED 1327104/2532560 (5.1s)
CRC VERIFIED 1331200/2532560 (5.1s)
CRC VERIFIED 1335296/2532560 (5.1s)
CRC VERIFIED 1339392/2532560 (5.1s)
CRC VERIFIED 1343488/2532560 (5.2s)
CRC VERIFIED 1347584/2532560 (5.2s)
CRC VERIFIED 1351680/2532560 (5.2s)
CRC VERIFIED 1355776/2532560 (5.2s)
CRC VERIFIED 1359872/2532560 (5.2s)
CRC VERIFIED 1363968/2532560 (5.2s)
CRC VERIFIED 1368064/2532560 (5.2s)
CRC VERIFIED 1372160/2532560 (5.3s)
CRC VERIFIED 1376256/2532560 (5.3s)
CRC VERIFIED 1380352/2532560 (5.3s)
CRC VERIFIED 1384448/2532560 (5.3s)
CRC VERIFIED 1388544/2532560 (5.3s)
CRC VERIFIED 1392640/2532560 (5.3s)
CRC VERIFIED 1396736/2532560 (5.4s)
CRC VERIFIED 1400832/2532560 (5.4s)
CRC VERIFIED 1404928/2532560 (5.4s)
CRC VERIFIED 1409024/2532560 (5.4s)
CRC VERIFIED 1413120/2532560 (5.4s)
CRC VERIFIED 1417216/2532560 (5.4s)
CRC VERIFIED 1421312/2532560 (5.5s)
CRC VERIFIED 1425408/2532560 (5.5s)
CRC VERIFIED 1429504/2532560 (5.5s)
CRC VERIFIED 1433600/2532560 (5.5s)
CRC VERIFIED 1437696/2532560 (5.5s)
CRC VERIFIED 1441792/2532560 (5.5s)
CRC VERIFIED 1445888/2532560 (5.5s)
CRC VERIFIED 1449984/2532560 (5.6s)
CRC VERIFIED 1454080/2532560 (5.6s)
CRC VERIFIED 1458176/2532560 (5.6s)
CRC VERIFIED 1462272/2532560 (5.6s)
CRC VERIFIED 1466368/2532560 (5.6s)
CRC VERIFIED 1470464/2532560 (5.6s)
CRC VERIFIED 1474560/2532560 (5.7s)
CRC VERIFIED 1478656/2532560 (5.7s)
CRC VERIFIED 1482752/2532560 (5.7s)
CRC VERIFIED 1486848/2532560 (5.7s)
CRC VERIFIED 1490944/2532560 (5.7s)
CRC VERIFIED 1495040/2532560 (5.7s)
CRC VERIFIED 1499136/2532560 (5.8s)
CRC VERIFIED 1503232/2532560 (5.8s)
CRC VERIFIED 1507328/2532560 (5.8s)
CRC VERIFIED 1511424/2532560 (5.8s)
CRC VERIFIED 1515520/2532560 (5.8s)
CRC VERIFIED 1519616/2532560 (5.8s)
CRC VERIFIED 1523712/2532560 (5.8s)
CRC VERIFIED 1527808/2532560 (5.9s)
CRC VERIFIED 1531904/2532560 (5.9s)
CRC VERIFIED 1536000/2532560 (5.9s)
CRC VERIFIED 1540096/2532560 (5.9s)
CRC VERIFIED 1544192/2532560 (5.9s)
CRC VERIFIED 1548288/2532560 (6.0s)
CRC VERIFIED 1552384/2532560 (6.0s)
CRC VERIFIED 1556480/2532560 (6.0s)
CRC VERIFIED 1560576/2532560 (6.0s)
CRC VERIFIED 1564672/2532560 (6.0s)
CRC VERIFIED 1568768/2532560 (6.0s)
CRC VERIFIED 1572864/2532560 (6.0s)
CRC VERIFIED 1576960/2532560 (6.1s)
CRC VERIFIED 1581056/2532560 (6.1s)
CRC VERIFIED 1585152/2532560 (6.1s)
CRC VERIFIED 1589248/2532560 (6.1s)
CRC VERIFIED 1593344/2532560 (6.1s)
CRC VERIFIED 1597440/2532560 (6.1s)
CRC VERIFIED 1601536/2532560 (6.2s)
CRC VERIFIED 1605632/2532560 (6.2s)
CRC VERIFIED 1609728/2532560 (6.2s)
CRC VERIFIED 1613824/2532560 (6.2s)
CRC VERIFIED 1617920/2532560 (6.2s)
CRC VERIFIED 1622016/2532560 (6.2s)
CRC VERIFIED 1626112/2532560 (6.2s)
CRC VERIFIED 1630208/2532560 (6.3s)
CRC VERIFIED 1634304/2532560 (6.3s)
CRC VERIFIED 1638400/2532560 (6.3s)
CRC VERIFIED 1642496/2532560 (6.3s)
CRC VERIFIED 1646592/2532560 (6.3s)
CRC VERIFIED 1650688/2532560 (6.3s)
CRC VERIFIED 1654784/2532560 (6.4s)
CRC VERIFIED 1658880/2532560 (6.4s)
CRC VERIFIED 1662976/2532560 (6.4s)
CRC VERIFIED 1667072/2532560 (6.4s)
CRC VERIFIED 1671168/2532560 (6.4s)
CRC VERIFIED 1675264/2532560 (6.4s)
CRC VERIFIED 1679360/2532560 (6.5s)
CRC VERIFIED 1683456/2532560 (6.5s)
CRC VERIFIED 1687552/2532560 (6.5s)
CRC VERIFIED 1691648/2532560 (6.5s)
CRC VERIFIED 1695744/2532560 (6.5s)
CRC VERIFIED 1699840/2532560 (6.5s)
CRC VERIFIED 1703936/2532560 (6.5s)
CRC VERIFIED 1708032/2532560 (6.6s)
CRC VERIFIED 1712128/2532560 (6.6s)
CRC VERIFIED 1716224/2532560 (6.6s)
CRC VERIFIED 1720320/2532560 (6.6s)
CRC VERIFIED 1724416/2532560 (6.6s)
CRC VERIFIED 1728512/2532560 (6.6s)
CRC VERIFIED 1732608/2532560 (6.7s)
CRC VERIFIED 1736704/2532560 (6.7s)
CRC VERIFIED 1740800/2532560 (6.7s)
CRC VERIFIED 1744896/2532560 (6.7s)
CRC VERIFIED 1748992/2532560 (6.7s)
CRC VERIFIED 1753088/2532560 (6.7s)
CRC VERIFIED 1757184/2532560 (6.8s)
CRC VERIFIED 1761280/2532560 (6.8s)
CRC VERIFIED 1765376/2532560 (6.8s)
CRC VERIFIED 1769472/2532560 (6.8s)
CRC VERIFIED 1773568/2532560 (6.8s)
CRC VERIFIED 1777664/2532560 (6.8s)
CRC VERIFIED 1781760/2532560 (6.8s)
CRC VERIFIED 1785856/2532560 (6.9s)
CRC VERIFIED 1789952/2532560 (6.9s)
CRC VERIFIED 1794048/2532560 (6.9s)
CRC VERIFIED 1798144/2532560 (6.9s)
CRC VERIFIED 1802240/2532560 (6.9s)
CRC VERIFIED 1806336/2532560 (6.9s)
CRC VERIFIED 1810432/2532560 (7.0s)
CRC VERIFIED 1814528/2532560 (7.0s)
CRC VERIFIED 1818624/2532560 (7.0s)
CRC VERIFIED 1822720/2532560 (7.0s)
CRC VERIFIED 1826816/2532560 (7.0s)
CRC VERIFIED 1830912/2532560 (7.0s)
CRC VERIFIED 1835008/2532560 (7.0s)
CRC VERIFIED 1839104/2532560 (7.1s)
CRC VERIFIED 1843200/2532560 (7.1s)
CRC VERIFIED 1847296/2532560 (7.1s)
CRC VERIFIED 1851392/2532560 (7.1s)
