seconds,working_set_bytes,private_bytes,os_peak_working_set_bytes
0.005458499988890253,1798144,401408,1798144
0.025679599988507107,12324864,5472256,12324864
0.046208300002035685,18407424,12017664,20484096
0.06649569999717642,24686592,28438528,26390528
0.08689199999207631,28618752,26435584,39677952
0.10737040000094566,37138432,53399552,51638272
0.1278015999996569,40013824,35426304,51638272
0.14806870000029448,44777472,48902144,69578752
0.16862640000181273,83709952,86405120,86106112
0.18907239999680314,95338496,98201600,95338496
0.2093620999949053,97144832,99966976,97144832
0.22964359998877626,99258368,100659200,99258368
0.24998120000236668,99430400,100802560,99430400
0.27060949998849537,99434496,100802560,99442688
0.29126369999721646,99463168,100802560,99471360
0.31186149999848567,99667968,100802560,99667968
0.3324772999912966,99663872,100802560,99667968
0.3529524999903515,99696640,100802560,99696640
0.3732768999907421,99770368,100802560,99770368
0.3937000000005355,99770368,100802560,99770368
0.41417669999646023,99774464,100802560,99774464
0.4345556999905966,99770368,100802560,99774464
0.45514939998975024,99770368,100802560,99774464
0.4756524999975227,99770368,100802560,99774464
0.4958989000006113,99790848,100802560,99790848
0.5164896999922348,99794944,100802560,99794944
0.5370013999927323,99794944,100802560,99799040
0.5576514999993378,99794944,100802560,99799040
0.5778033999959007,99786752,100802560,99799040
0.5984382999886293,99782656,100802560,99799040
0.618800199998077,99790848,100802560,99799040
0.6389459999918472,99790848,100802560,99799040
0.659315199998673,99786752,100802560,99799040
0.6797666999918874,99799040,100802560,99799040
0.7000819999957457,99807232,100802560,99807232
0.7205121000006329,99823616,100802560,99823616
0.74108979999437,99835904,100802560,99835904
0.7613891999935731,99835904,100802560,99835904
0.7816516000020783,99840000,100802560,99840000
0.8019739000010304,99844096,100802560,99844096
0.8226489999942714,99868672,100802560,99868672
0.8432006999937585,99885056,100802560,99885056
0.8635925999988103,99893248,100802560,99893248
0.8839486999931978,99893248,100802560,99893248
0.904187499996624,99893248,100802560,99893248
0.9244635999930324,99893248,100802560,99893248
0.9449602999957278,99893248,100802560,99893248
0.9653698999900371,99893248,100802560,99893248
0.986046299993177,99893248,100802560,99893248
1.0064265999972122,99893248,100802560,99893248
1.0268771999981254,99942400,100802560,99942400
1.0474811000021873,99991552,100802560,99991552
1.0678148000006331,99991552,100802560,99991552
1.0884623999882024,99991552,100802560,99991552
1.1089961999969091,99991552,100802560,99991552
1.1295115999964764,77389824,69480448,107839488
1.1498836999962805,80003072,71659520,107839488
1.170423599993228,82128896,73871360,107839488
1.1906233999907272,83623936,75460608,107839488
1.2109531000023708,85323776,77271040,107839488
1.2315936999948462,89513984,81604608,107839488
1.251878900002339,98648064,90603520,107839488
1.2720665999950143,98652160,90603520,107839488
1.2923557999893092,100679680,93208576,107839488
1.3127482999989297,100950016,93499392,107839488
1.3329627999919467,105811968,97701888,107839488
1.3534924999985378,106356736,98250752,107839488
1.3738072999985889,111550464,103481344,111550464
1.3943919000012102,111554560,103481344,111558656
1.4146338999998989,115245056,107212800,115245056
1.4348299999983283,115249152,107216896,115249152
1.4552561000018613,117923840,109862912,117923840
1.4756134999915957,117927936,109862912,117927936
1.496216799991089,121266176,113197056,121266176
1.5165514999971492,122552320,114569216,122560512
1.5371445999917341,127102976,119144448,127102976
1.5576125999941723,127107072,119144448,127107072
1.5778721999959089,132554752,124567552,132554752
1.5982568999897921,132554752,124567552,132554752
1.6186004999908619,135811072,127827968,135811072
1.6389691999938805,135811072,127827968,135811072
1.6593793999927584,141869056,133918720,141869056
1.6795780999964336,141869056,133918720,141869056
1.6998783000017283,141877248,133918720,141877248
1.7202781999949366,145616896,137674752,145616896
1.7408815999951912,145616896,137674752,145616896
1.7610999999888008,149872640,141934592,149872640
1.7814135999942664,149872640,141934592,149872640
1.8016370999976061,153837568,145911808,153837568
1.8218858999898657,153837568,145911808,153837568
1.842498500001966,158609408,150695936,158609408
1.8630989999946905,158609408,150695936,158609408
1.8837186000018846,159109120,151248896,159109120
1.9042887999967206,164737024,156852224,164737024
1.9245315000007395,164737024,156852224,164737024
1.9450255999981891,169676800,161812480,169676800
1.9655167000018992,169676800,161812480,169676800
1.9857871999993222,169676800,161812480,169676800
2.006010299999616,174198784,166359040,174198784
2.0264210000023013,174202880,166359040,174202880
2.047001099999761,177942528,170102784,177942528
2.0675960999942617,177946624,170102784,177946624
2.0880624999990687,182030336,174194688,182030336
2.1086592999927234,182034432,174194688,182034432
2.1288859999913257,186478592,178642944,186478592
2.149529699992854,186478592,178642944,186478592
2.169985300002736,189558784,182714368,189558784
2.1903521999920486,190550016,182714368,190550016
2.2108915999997407,191008768,183263232,191008768
2.2310429999924963,195768320,187961344,195768320
2.2516134999896167,195768320,187961344,195768320
2.271952199997031,201441280,193675264,201441280
2.2921318000007886,201441280,193675264,201441280
2.312707799996133,204038144,197304320,204038144
2.33304899999348,205066240,197304320,205066240
2.3537123999994947,207212544,201183232,207212544
2.3743599000008544,208941056,201183232,208941056
2.394664899999043,208977920,201183232,208977920
2.4152382999891415,212926464,205127680,212926464
2.435659199996735,216072192,208265216,216072192
2.4557906999980332,216072192,208265216,216072192
2.476316999993287,220491776,212705280,220491776
2.4965137999970466,220504064,212705280,220504064
2.516840099997353,221298688,213536768,221298688
2.5371754999941913,225427456,217686016,225427456
2.5575171999953454,225431552,217686016,225431552
2.5778277999925194,228798464,221057024,228798464
2.5981690999906277,228798464,221057024,228798464
2.618548699989333,232906752,225161216,232906752
2.6391908999939915,233160704,225435648,233160704
2.6597176999930525,238559232,230846464,238559232
2.6802499999903375,238563328,230846464,238563328
2.700388799989014,242208768,234491904,242208768
2.7208678999886615,242212864,234491904,242212864
2.7412904999946477,245649408,237932544,245649408
2.761829700000817,245653504,237932544,245653504
2.782409399995231,249790464,242089984,249790464
2.8031168000015896,250290176,242638848,250290176
2.8235780999966664,254189568,246501376,254189568
2.8437742999958573,254189568,246501376,254189568
2.864319100001012,258232320,250548224,258232320
2.8850092999928165,258711552,251097088,258711552
2.905671300002723,262901760,255287296,262901760
2.92609779999475,263430144,255840256,263430144
2.9465323999902466,268820480,261177344,268820480
2.967185499990592,268820480,261177344,268820480
2.987589399999706,271601664,263958528,271601664
3.008050099990214,275333120,267689984,275333120
3.0283545999991475,275333120,267689984,275333120
3.0485271999932593,277282816,269623296,277282816
3.0688805999961914,277282816,269623296,277282816
3.089538000000175,280268800,272617472,280268800
3.110082200000761,280268800,272617472,280272896
3.1304642999893986,284962816,277331968,284962816
3.150850199992419,284966912,277331968,284966912
3.17114049999509,279134208,272936960,287760384
3.19168869999703,286167040,281681920,290910208
3.212420800002292,299667456,303648768,299667456
3.233240499990643,315039744,318623744,316157952
3.25361059998977,304877568,300650496,316157952
3.2741354999889154,310480896,314134528,334098432
3.294380399995134,317427712,314134528,334098432
3.314624799997546,322027520,334352384,361000960
3.3348050999920815,328777728,334352384,361000960
3.3554222999955527,335331328,334352384,361000960
3.3760017000022344,369590272,425340928,369590272
3.396275599996443,345743360,364679168,401362944
3.4168588999891654,352690176,364679168,401362944
3.437349899992114,359804928,364679168,401362944
3.4580087999929674,367042560,364679168,401362944
3.478406099995482,433127424,501166080,433127424
3.4986859999917215,375799808,410173440,461901824
3.5188455999887083,382812160,410173440,461901824
3.5390294999961043,389758976,410173440,461901824
3.55936319999455,396828672,410173440,461901824
3.5798245999903884,403914752,410173440,461901824
3.6003269999928307,410992640,410173440,461901824
3.6210322999977507,448225280,614903808,461901824
3.6414291999972193,417054720,478420992,552718336
3.6620509999920614,424263680,478420992,552718336
3.6824760000017704,431407104,478420992,552718336
3.7029410999966785,438288384,478420992,552718336
3.723397900001146,445104128,478420992,552718336
3.7439494999998715,522502144,555077632,552718336
3.7654692999931285,612765696,645369856,612765696
3.786026599991601,623972352,656785408,623972352
3.806339399990975,626016256,658972672,626016256
3.8268064000003505,626270208,659116032,626278400
3.8474054999969667,626630656,659546112,626630656
3.8675672999961535,626696192,659546112,626696192
3.8878633999993326,627294208,660090880,627294208
3.9083689999970375,627290112,660090880,627294208
3.9287817000003997,627290112,660090880,627294208
3.9491061000007903,627322880,660090880,627322880
3.9693728999991436,627322880,660090880,627322880
3.98957689999952,627326976,660090880,627326976
4.010009099991294,627322880,660090880,627326976
4.030506099996273,627322880,660090880,627326976
4.051055899995845,627318784,660090880,627326976
4.071425799993449,627343360,660090880,627343360
4.092178199993214,627335168,660090880,627343360
4.1125170000013895,627351552,660090880,627351552
4.133256799992523,627347456,660090880,627351552
4.153523699991638,627490816,660234240,627490816
4.17394159999094,627490816,660234240,627490816
4.194088599993847,627503104,660234240,627503104
4.214276300001075,627503104,660234240,627503104
4.2347331999917515,627507200,660234240,627507200
4.255331899999874,627511296,660234240,627511296
4.275891299999785,627785728,660512768,627785728
4.2964023999957135,627785728,660512768,627785728
4.316614199997275,627785728,660512768,627785728
4.337067999993451,627785728,660512768,627785728
4.357561700002407,627789824,660512768,627789824
4.378011199994944,627789824,660512768,627789824
4.39834859999246,627789824,660512768,627789824
4.418757399995229,627789824,660512768,627789824
4.439181900001131,627789824,660512768,627789824
4.459522199991625,627793920,660512768,627793920
4.479913099989062,627793920,660512768,627793920
4.500193899992155,627793920,660512768,627793920
4.520555499999318,627793920,660512768,627793920
4.541156099992804,627793920,660512768,627793920
4.561707000000752,627793920,660512768,627793920
4.5821314999921015,627793920,660512768,627793920
4.602447899989784,627802112,660512768,627802112
4.622899299996789,627802112,660512768,627802112
4.643463799991878,627802112,660512768,627802112
4.663741700001992,627802112,660512768,627802112
4.683945299999323,627802112,660512768,627802112
4.70451409999805,627802112,660512768,627802112
4.724871500002337,627802112,660512768,627802112
4.745466199994553,627802112,660512768,627802112
4.766068700002506,627802112,660512768,627802112
4.786492300001555,627802112,660512768,627802112
4.806956899992656,627802112,660512768,627802112
4.827482199994847,627802112,660512768,627802112
4.847657699996489,627802112,660512768,627802112
4.86800219998986,627802112,660512768,627802112
4.888369599997532,635744256,678371328,636731392
4.90857679999317,634929152,711319552,637575168
4.928716599999461,638525440,783613952,642670592
4.949018999992404,679931904,818266112,679931904
4.96956169999612,743272448,881610752,743272448
4.989999600002193,690204672,929886208,791986176
5.010267299992847,632954880,732151808,791986176
5.030927499989048,638107648,738803712,791986176
5.051410599990049,643276800,744800256,791986176
5.071599699993385,648208384,753786880,791986176
5.0918204999907175,654106624,753786880,791986176
5.112288199990871,658513920,767262720,791986176
5.132817399993655,664477696,767262720,791986176
5.153197399995406,703188992,827924480,791986176
5.1734088999946835,674357248,787480576,791986176
5.193756799999392,680386560,787480576,791986176
5.214025900000706,686022656,787480576,791986176
5.234258399999817,732061696,878469120,791986176
5.254870299992035,692879360,817811456,791986176
5.275117999990471,698122240,817811456,791986176
5.295423099989421,748675072,866750464,791986176
5.315788899999461,775618560,892309504,791986176
5.336219399992842,776171520,892833792,791986176
5.3566492999962065,776343552,892915712,791986176
5.377179799994337,776368128,892915712,791986176
5.39770739999949,776368128,892915712,791986176
5.418062199998531,776380416,892928000,791986176
5.438478299998678,776380416,892928000,791986176
5.458952699991642,776380416,892928000,791986176
5.4791550999943865,776380416,892928000,791986176
5.499645599993528,776380416,892928000,791986176
5.520108899989282,776380416,892928000,791986176
5.540519899994251,776380416,892928000,791986176
5.560747499999707,776388608,892928000,791986176
