IMAGE 2212608 7fa95ddfeeee2de9d832cbf7cf10a440c5fef158b0a11811deeee6b885cc2b75
RESUME: preserved snapshot; destination and source blocks require CRC
STAGE openvela 0x40400000 2212608
RAM REUSE VERIFIED 790528
RAM REUSE VERIFIED 794624
RAM REUSE VERIFIED 798720
RAM REUSE VERIFIED 802816
RAM REUSE VERIFIED 806912
RAM REUSE VERIFIED 811008
RAM REUSE VERIFIED 815104
RAM REUSE VERIFIED 819200
RAM REUSE VERIFIED 823296
RAM REUSE VERIFIED 827392
RAM REUSE VERIFIED 831488
RAM REUSE VERIFIED 835584
RAM REUSE VERIFIED 839680
RAM REUSE VERIFIED 843776
RAM REUSE VERIFIED 847872
RAM REUSE VERIFIED 851968
RAM REUSE VERIFIED 856064
RAM REUSE VERIFIED 860160
RAM REUSE VERIFIED 864256
RAM REUSE VERIFIED 868352
RAM REUSE VERIFIED 872448
RAM REUSE VERIFIED 876544
RAM REUSE VERIFIED 880640
RAM REUSE VERIFIED 884736
RAM REUSE VERIFIED 888832
RAM REUSE VERIFIED 892928
RAM REUSE VERIFIED 897024
RAM REUSE VERIFIED 901120
RAM REUSE VERIFIED 905216
RAM REUSE VERIFIED 909312
RAM REUSE VERIFIED 913408
RAM REUSE VERIFIED 917504
RAM REUSE VERIFIED 921600
RAM REUSE VERIFIED 925696
RAM REUSE VERIFIED 929792
RAM REUSE VERIFIED 933888
RAM REUSE VERIFIED 937984
RAM REUSE VERIFIED 942080
RAM REUSE VERIFIED 946176
RAM REUSE VERIFIED 950272
RAM REUSE VERIFIED 954368
RAM REUSE VERIFIED 958464
RAM REUSE VERIFIED 962560
RAM REUSE VERIFIED 966656
RAM REUSE VERIFIED 970752
RAM REUSE VERIFIED 974848
RAM REUSE VERIFIED 978944
RAM REUSE VERIFIED 983040
RAM REUSE VERIFIED 987136
RAM REUSE VERIFIED 991232
RAM REUSE VERIFIED 995328
RAM REUSE VERIFIED 999424
RAM REUSE VERIFIED 1003520
RAM REUSE VERIFIED 1007616
RAM REUSE VERIFIED 1011712
RAM REUSE VERIFIED 1015808
RAM REUSE VERIFIED 1019904
RAM REUSE VERIFIED 1024000
RAM REUSE VERIFIED 1028096
RAM REUSE VERIFIED 1032192
RAM REUSE VERIFIED 1036288
RAM REUSE VERIFIED 1040384
RAM REUSE VERIFIED 1044480
RAM REUSE VERIFIED 1048576
RAM REUSE VERIFIED 1052672
RAM REUSE VERIFIED 1056768
RAM REUSE VERIFIED 1060864
RAM REUSE VERIFIED 1064960
RAM REUSE VERIFIED 1069056
RAM REUSE VERIFIED 1073152
RAM REUSE VERIFIED 1077248
RAM REUSE VERIFIED 1081344
RAM REUSE VERIFIED 1085440
RAM REUSE VERIFIED 1089536
RAM REUSE VERIFIED 1093632
RAM REUSE VERIFIED 1097728
RAM REUSE VERIFIED 1101824
RAM REUSE VERIFIED 1105920
RAM REUSE VERIFIED 1110016
RAM REUSE VERIFIED 1114112
RAM REUSE VERIFIED 1118208
RAM REUSE VERIFIED 1122304
RAM REUSE VERIFIED 1126400
RAM REUSE VERIFIED 1130496
RAM REUSE VERIFIED 1134592
RAM REUSE VERIFIED 1138688
RAM REUSE VERIFIED 1142784
RAM REUSE VERIFIED 1146880
RAM REUSE VERIFIED 1150976
RAM REUSE VERIFIED 1155072
RAM REUSE VERIFIED 1159168
RAM REUSE VERIFIED 1163264
RAM REUSE VERIFIED 1167360
RAM REUSE VERIFIED 1171456
RAM REUSE VERIFIED 1175552
RAM REUSE VERIFIED 1179648
RAM REUSE VERIFIED 1183744
RAM REUSE VERIFIED 1187840
RAM REUSE VERIFIED 1191936
RAM REUSE VERIFIED 1196032
RAM REUSE VERIFIED 1200128
RAM REUSE VERIFIED 1204224
RAM REUSE VERIFIED 1208320
RAM REUSE VERIFIED 1212416
RAM REUSE VERIFIED 1216512
RAM REUSE VERIFIED 1220608
RAM REUSE VERIFIED 1224704
RAM REUSE VERIFIED 1228800
RAM REUSE VERIFIED 1232896
RAM REUSE VERIFIED 1236992
RAM REUSE VERIFIED 1241088
RAM REUSE VERIFIED 1245184
RAM REUSE VERIFIED 1249280
RAM REUSE VERIFIED 1253376
RAM REUSE VERIFIED 1257472
RAM REUSE VERIFIED 1261568
RAM REUSE VERIFIED 1265664
RAM REUSE VERIFIED 1269760
RAM REUSE VERIFIED 1273856
RAM REUSE VERIFIED 1277952
RAM REUSE VERIFIED 1282048
RAM REUSE VERIFIED 1286144
RAM REUSE VERIFIED 1290240
RAM REUSE VERIFIED 1294336
RAM REUSE VERIFIED 1298432
RAM REUSE VERIFIED 1302528
RAM REUSE VERIFIED 1306624
RAM REUSE VERIFIED 1310720
RAM REUSE VERIFIED 1314816
RAM REUSE VERIFIED 1318912
RAM REUSE VERIFIED 1323008
RAM REUSE VERIFIED 1327104
RAM REUSE VERIFIED 1331200
RAM REUSE VERIFIED 1335296
RAM REUSE VERIFIED 1339392
RAM REUSE VERIFIED 1343488
RAM REUSE VERIFIED 1347584
RAM REUSE VERIFIED 1351680
RAM REUSE VERIFIED 1355776
RAM REUSE VERIFIED 1359872
RAM REUSE VERIFIED 1363968
RAM REUSE VERIFIED 1368064
RAM REUSE VERIFIED 1372160
RAM REUSE VERIFIED 1376256
RAM REUSE VERIFIED 1380352
RAM REUSE VERIFIED 1384448
RAM REUSE VERIFIED 1388544
RAM REUSE VERIFIED 1392640
RAM REUSE VERIFIED 1396736
RAM REUSE VERIFIED 1400832
RAM REUSE VERIFIED 1404928
RAM REUSE VERIFIED 1409024
RAM REUSE VERIFIED 1413120
RAM REUSE VERIFIED 1417216
RAM REUSE VERIFIED 1421312
RAM REUSE VERIFIED 1425408
RAM REUSE VERIFIED 1429504
RAM REUSE VERIFIED 1433600
RAM REUSE VERIFIED 1437696
RAM REUSE VERIFIED 1441792
RAM REUSE VERIFIED 1445888
RAM REUSE VERIFIED 1449984
RAM REUSE VERIFIED 1454080
RAM REUSE VERIFIED 1458176
RAM REUSE VERIFIED 1462272
RAM REUSE VERIFIED 1466368
RAM REUSE VERIFIED 1470464
RAM REUSE VERIFIED 1474560
RAM REUSE VERIFIED 1478656
RAM REUSE VERIFIED 1482752
RAM REUSE VERIFIED 1486848
RAM REUSE VERIFIED 1490944
RAM REUSE VERIFIED 1495040
RAM REUSE VERIFIED 1499136
