IMAGE 2532560 8c8f46b4a354be34e6ff8d3d430cb81f70d583a8a0f929aeed0047ae5f1585fc
CRC VERIFIED 151552/193224 (306.7s)
CRC VERIFIED 155648/193224 (306.7s)
CRC VERIFIED 159744/193224 (306.8s)
CRC VERIFIED 163840/193224 (306.8s)
CRC VERIFIED 167936/193224 (306.8s)
CRC VERIFIED 172032/193224 (306.8s)
CRC VERIFIED 176128/193224 (306.8s)
CRC VERIFIED 180224/193224 (306.8s)
CRC VERIFIED 184320/193224 (306.8s)
CRC VERIFIED 188416/193224 (306.9s)
CRC VERIFIED 192512/193224 (306.9s)
CRC VERIFIED 193224/193224 (306.9s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (306.9s)
CRC VERIFIED 8192/356616 (306.9s)
CRC VERIFIED 12288/356616 (307.0s)
CRC VERIFIED 16384/356616 (307.0s)
CRC VERIFIED 20480/356616 (307.0s)
CRC VERIFIED 24576/356616 (307.0s)
CRC VERIFIED 28672/356616 (307.0s)
CRC VERIFIED 32768/356616 (307.0s)
CRC VERIFIED 36864/356616 (307.0s)
CRC VERIFIED 40960/356616 (307.1s)
CRC VERIFIED 45056/356616 (307.1s)
CRC VERIFIED 49152/356616 (307.1s)
CRC VERIFIED 53248/356616 (307.1s)
CRC VERIFIED 57344/356616 (307.1s)
CRC VERIFIED 61440/356616 (307.1s)
CRC VERIFIED 65536/356616 (307.2s)
CRC VERIFIED 69632/356616 (307.2s)
CRC VERIFIED 73728/356616 (307.2s)
CRC VERIFIED 77824/356616 (307.2s)
CRC VERIFIED 81920/356616 (307.2s)
CRC VERIFIED 86016/356616 (307.2s)
CRC VERIFIED 90112/356616 (307.2s)
CRC VERIFIED 94208/356616 (307.3s)
CRC VERIFIED 98304/356616 (307.3s)
CRC VERIFIED 102400/356616 (307.3s)
CRC VERIFIED 106496/356616 (307.3s)
CRC VERIFIED 110592/356616 (307.3s)
CRC VERIFIED 114688/356616 (307.3s)
CRC VERIFIED 118784/356616 (307.4s)
CRC VERIFIED 122880/356616 (307.4s)
CRC VERIFIED 126976/356616 (307.4s)
CRC VERIFIED 131072/356616 (307.4s)
CRC VERIFIED 135168/356616 (307.4s)
CRC VERIFIED 139264/356616 (307.4s)
CRC VERIFIED 143360/356616 (307.5s)
CRC VERIFIED 147456/356616 (307.5s)
CRC VERIFIED 151552/356616 (307.5s)
CRC VERIFIED 155648/356616 (307.5s)
CRC VERIFIED 159744/356616 (307.5s)
CRC VERIFIED 163840/356616 (307.5s)
CRC VERIFIED 167936/356616 (307.5s)
CRC VERIFIED 172032/356616 (307.6s)
CRC VERIFIED 176128/356616 (307.6s)
CRC VERIFIED 180224/356616 (307.6s)
CRC VERIFIED 184320/356616 (307.6s)
CRC VERIFIED 188416/356616 (307.6s)
CRC VERIFIED 192512/356616 (307.6s)
CRC VERIFIED 196608/356616 (307.7s)
CRC VERIFIED 200704/356616 (307.7s)
CRC VERIFIED 204800/356616 (307.7s)
CRC VERIFIED 208896/356616 (307.7s)
CRC VERIFIED 212992/356616 (307.7s)
CRC VERIFIED 217088/356616 (307.7s)
CRC VERIFIED 221184/356616 (307.8s)
CRC VERIFIED 225280/356616 (307.8s)
CRC VERIFIED 229376/356616 (307.8s)
CRC VERIFIED 233472/356616 (307.8s)
CRC VERIFIED 237568/356616 (307.8s)
CRC VERIFIED 241664/356616 (307.8s)
CRC VERIFIED 245760/356616 (307.8s)
CRC VERIFIED 249856/356616 (307.9s)
CRC VERIFIED 253952/356616 (307.9s)
CRC VERIFIED 258048/356616 (307.9s)
CRC VERIFIED 262144/356616 (307.9s)
CRC VERIFIED 266240/356616 (307.9s)
CRC VERIFIED 270336/356616 (307.9s)
CRC VERIFIED 274432/356616 (308.0s)
CRC VERIFIED 278528/356616 (308.0s)
CRC VERIFIED 282624/356616 (308.0s)
CRC VERIFIED 286720/356616 (308.0s)
CRC VERIFIED 290816/356616 (308.0s)
CRC VERIFIED 294912/356616 (308.0s)
CRC VERIFIED 299008/356616 (308.0s)
CRC VERIFIED 303104/356616 (308.1s)
CRC VERIFIED 307200/356616 (308.1s)
CRC VERIFIED 311296/356616 (308.1s)
CRC VERIFIED 315392/356616 (308.1s)
CRC VERIFIED 319488/356616 (308.1s)
CRC VERIFIED 323584/356616 (308.1s)
CRC VERIFIED 327680/356616 (308.2s)
CRC VERIFIED 331776/356616 (308.2s)
CRC VERIFIED 335872/356616 (308.2s)
CRC VERIFIED 339968/356616 (308.2s)
CRC VERIFIED 344064/356616 (308.2s)
CRC VERIFIED 348160/356616 (308.2s)
CRC VERIFIED 352256/356616 (308.2s)
CRC VERIFIED 356352/356616 (308.3s)
CRC VERIFIED 356616/356616 (308.3s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (308.3s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (308.3s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 319195.8/319548.132 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I/TC: Secondary CPU 1 switching to normal world boot


NuttI/TC: Secondary CPU 4 initializing

SheI/TC: Secondary CPU 4 switching to normal world boot

- Ready I/TC: Secondary CPU 2 initializing

to B- oI/TC: Secondary CPU 2 switching to normal world boot

oRetaI /TC: Secondary CPU 5 initializing

Sdy-ec  tRoneoa d BdoCyoPt U S
tI/TC: Secondary CPU 5 switching to normal world boot


eRoco KBn35odo 7I/TC: Secondary CPU 3 initializing

-Ct6  P RHSUI/TC: Secondary CPU 3 switching to normal world boot

eCe
acR
d_RonKyEI/TC: Secondary CPU 6 initializing

d3 L5t 2-C o7=R0 6P0UeB I/TC: Secondary CPU 6 switching to normal world boot

0
Hoado
C0I/TC: Secondary CPU 7 initializing

ytR0R0 K_ -I/TC: Secondary CPU 7 switching to normal world boot

03E S05eLRect20706oo=a0n 0d y00HBd 0 0CotRCo00tP00o_0UE2  0
LS
Bo0
e
2R=ocR0ot00KK 03n300S05-5e0077 dR 0c60C eo060 0H0Pan
SU0Cddy C0R

_ R0CTEtKL0
P3LoR0UR 5
K2_03B70
=RE560o02oL70 K13
0tS6
 =5C0SR070T 6eKHL0030c CR00_o5H007ERn0CL0R60_dE_0 01 L0E=CS0L200C3P0T0=U02L
00=d000
00R00
R0_00
0K0E00R0803L05K00030703105000
=6070 
0d006H0-C0000 80 RS00000_CBTo0000ELo
000LR0t
022= 
-0_E
f
 0000
rRLBR01ooK303Km=o0d50t 300507E 00Lf7060860 2r0
00o0 m0S0S
0
C00 0TCE
0L-L3T0RL 002BR0d_
0E_o0
o
0LE8
L1tR 10=fK0=00r3
00o
050m-70 0 06BE 00L0So000oCT30t3L 20dfR0
_0d
r0E0o08mL 1080E=L0
0200

0
-

0 0-B0o 0oBt03 o0fordto0 fm08 rE0oL0
m2 

-
E LB2o
o
t from lEL2

l (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for O-S  IBnoiott iatloi Cz er
u
ntime for OS Initialize


PASS: REAL K7 NSH
