IMAGE 2212608 7fa95ddfeeee2de9d832cbf7cf10a440c5fef158b0a11811deeee6b885cc2b75
RESUME: preserved snapshot; destination and source blocks require CRC
STAGE openvela 0x40400000 2212608
CRC VERIFIED 270336/2212608 (1.0s)
CRC VERIFIED 274432/2212608 (1.1s)
CRC VERIFIED 278528/2212608 (1.1s)
CRC VERIFIED 282624/2212608 (1.1s)
CRC VERIFIED 286720/2212608 (1.1s)
CRC VERIFIED 290816/2212608 (1.1s)
CRC VERIFIED 294912/2212608 (1.1s)
CRC VERIFIED 299008/2212608 (1.2s)
CRC VERIFIED 303104/2212608 (1.2s)
CRC VERIFIED 307200/2212608 (1.2s)
CRC VERIFIED 311296/2212608 (1.2s)
CRC VERIFIED 315392/2212608 (1.2s)
CRC VERIFIED 319488/2212608 (1.2s)
CRC VERIFIED 323584/2212608 (1.2s)
CRC VERIFIED 327680/2212608 (1.3s)
CRC VERIFIED 331776/2212608 (1.3s)
CRC VERIFIED 335872/2212608 (1.3s)
CRC VERIFIED 339968/2212608 (1.3s)
CRC VERIFIED 344064/2212608 (1.3s)
CRC VERIFIED 348160/2212608 (1.3s)
CRC VERIFIED 352256/2212608 (1.4s)
CRC VERIFIED 356352/2212608 (1.4s)
CRC VERIFIED 360448/2212608 (1.4s)
CRC VERIFIED 364544/2212608 (1.4s)
CRC VERIFIED 368640/2212608 (1.4s)
CRC VERIFIED 372736/2212608 (1.4s)
CRC VERIFIED 376832/2212608 (1.5s)
CRC VERIFIED 380928/2212608 (1.5s)
CRC VERIFIED 385024/2212608 (1.5s)
CRC VERIFIED 389120/2212608 (1.5s)
CRC VERIFIED 393216/2212608 (1.5s)
CRC VERIFIED 397312/2212608 (1.5s)
CRC VERIFIED 401408/2212608 (1.5s)
CRC VERIFIED 405504/2212608 (1.6s)
CRC VERIFIED 409600/2212608 (1.6s)
CRC VERIFIED 413696/2212608 (1.6s)
CRC VERIFIED 417792/2212608 (1.6s)
CRC VERIFIED 421888/2212608 (1.6s)
CRC VERIFIED 425984/2212608 (1.6s)
CRC VERIFIED 430080/2212608 (1.7s)
CRC VERIFIED 434176/2212608 (1.7s)
CRC VERIFIED 438272/2212608 (1.7s)
CRC VERIFIED 442368/2212608 (1.7s)
CRC VERIFIED 446464/2212608 (1.7s)
CRC VERIFIED 450560/2212608 (1.7s)
CRC VERIFIED 454656/2212608 (1.8s)
CRC VERIFIED 458752/2212608 (1.8s)
CRC VERIFIED 462848/2212608 (1.8s)
CRC VERIFIED 466944/2212608 (1.8s)
CRC VERIFIED 471040/2212608 (1.8s)
CRC VERIFIED 475136/2212608 (1.8s)
CRC VERIFIED 479232/2212608 (1.8s)
CRC VERIFIED 483328/2212608 (1.9s)
CRC VERIFIED 487424/2212608 (1.9s)
CRC VERIFIED 491520/2212608 (1.9s)
CRC VERIFIED 495616/2212608 (1.9s)
CRC VERIFIED 499712/2212608 (1.9s)
CRC VERIFIED 503808/2212608 (1.9s)
CRC VERIFIED 507904/2212608 (2.0s)
CRC VERIFIED 512000/2212608 (2.0s)
CRC VERIFIED 516096/2212608 (2.0s)
CRC VERIFIED 520192/2212608 (2.0s)
CRC VERIFIED 524288/2212608 (2.0s)
CRC VERIFIED 528384/2212608 (2.0s)
CRC VERIFIED 532480/2212608 (2.0s)
CRC VERIFIED 536576/2212608 (2.1s)
CRC VERIFIED 540672/2212608 (2.1s)
CRC VERIFIED 544768/2212608 (2.1s)
CRC VERIFIED 548864/2212608 (2.1s)
CRC VERIFIED 552960/2212608 (2.1s)
CRC VERIFIED 557056/2212608 (2.1s)
CRC VERIFIED 561152/2212608 (2.2s)
CRC VERIFIED 565248/2212608 (2.2s)
CRC VERIFIED 569344/2212608 (2.2s)
CRC VERIFIED 573440/2212608 (2.2s)
CRC VERIFIED 577536/2212608 (2.2s)
CRC VERIFIED 581632/2212608 (2.2s)
CRC VERIFIED 585728/2212608 (2.2s)
CRC VERIFIED 589824/2212608 (2.3s)
CRC VERIFIED 593920/2212608 (2.3s)
CRC VERIFIED 598016/2212608 (2.3s)
CRC VERIFIED 602112/2212608 (2.3s)
CRC VERIFIED 606208/2212608 (2.3s)
CRC VERIFIED 610304/2212608 (2.3s)
CRC VERIFIED 614400/2212608 (2.4s)
CRC VERIFIED 618496/2212608 (2.4s)
CRC VERIFIED 622592/2212608 (2.4s)
CRC VERIFIED 626688/2212608 (2.4s)
CRC VERIFIED 630784/2212608 (2.4s)
CRC VERIFIED 634880/2212608 (2.4s)
CRC VERIFIED 638976/2212608 (2.5s)
CRC VERIFIED 643072/2212608 (2.5s)
CRC VERIFIED 647168/2212608 (2.5s)
CRC VERIFIED 651264/2212608 (2.5s)
CRC VERIFIED 655360/2212608 (2.5s)
CRC VERIFIED 659456/2212608 (2.5s)
CRC VERIFIED 663552/2212608 (2.5s)
CRC VERIFIED 667648/2212608 (2.6s)
CRC VERIFIED 671744/2212608 (2.6s)
CRC VERIFIED 675840/2212608 (2.6s)
CRC VERIFIED 679936/2212608 (2.6s)
CRC VERIFIED 684032/2212608 (2.6s)
CRC VERIFIED 688128/2212608 (2.6s)
CRC VERIFIED 692224/2212608 (2.7s)
CRC VERIFIED 696320/2212608 (2.7s)
CRC VERIFIED 700416/2212608 (2.7s)
CRC VERIFIED 704512/2212608 (2.7s)
CRC VERIFIED 708608/2212608 (2.7s)
CRC VERIFIED 712704/2212608 (2.7s)
CRC VERIFIED 716800/2212608 (2.8s)
