seconds,working_set_bytes,private_bytes,os_peak_working_set_bytes
0.004594700003508478,1802240,405504,1802240
0.024921300006099045,14118912,7147520,14118912
0.045540999999502674,21446656,21778432,22859776
0.06573790000402369,27369472,20447232,31715328
0.08595249999780208,33243136,26439680,39686144
0.10627329999988433,38670336,35426304,51646464
0.12642060000507627,43401216,48902144,69586944
0.14680170000065118,49627136,48902144,69586944
0.167413300005137,55984128,48902144,69586944
0.1879614999925252,60043264,69120000,96489472
0.20855630000005476,66400256,69120000,96489472
0.22906689999217633,72364032,69120000,96489472
0.24940309999510646,116457472,160112640,116457472
0.26963130000513047,80486400,99450880,136851456
0.2899286000028951,86515712,99450880,136851456
0.3103547999926377,92610560,99450880,136851456
0.33072600000014063,98639872,99450880,136851456
0.35119099999428727,104865792,99450880,136851456
0.37163419999706093,188235776,235937792,188235776
0.3920966000005137,111181824,144949248,197390336
0.41251789999660105,117735424,144949248,197390336
0.4328005999996094,123895808,144949248,197390336
0.4533728999958839,129859584,144949248,197390336
0.4739890000055311,135954432,144949248,197390336
0.4943028999987291,142114816,144949248,197390336
0.5148600999964401,148733952,144949248,197390336
0.5354719000024488,211038208,349675520,211038208
0.5556590000051074,231489536,349675520,288206848
0.5759348999999929,157388800,213188608,288206848
0.5962177000037627,163745792,213188608,288206848
0.6167186999955447,170102784,213188608,288206848
0.6370367000054102,176328704,213188608,288206848
0.6574089000059757,190943232,223158272,288206848
0.678280399995856,271527936,304386048,288206848
0.6987023999972735,340647936,374140928,340647936
0.7191660999960732,366907392,400158720,366907392
0.7396090999973239,370638848,403791872,370638848
0.7597776000038721,372965376,404819968,372965376
0.7804003000055673,373571584,405401600,373571584
0.8010619999986375,373764096,405544960,373780480
0.8212191000056919,374185984,406093824,374185984
0.8413843000016641,374325248,406093824,374329344
0.8615312000038102,374444032,406093824,374444032
0.8821146999980556,374435840,406093824,374444032
0.9027225000027101,374444032,406093824,374444032
0.9231508999946527,374435840,406093824,374444032
0.9434615000063786,374439936,406093824,374444032
0.9638063000020338,374448128,406093824,374448128
0.9843623000051593,374460416,406093824,374460416
1.0047338000003947,374456320,406093824,374460416
1.0253025999991223,374456320,406093824,374460416
1.0459064000024227,374464512,406093824,374464512
1.0663026999973226,374468608,406093824,374468608
1.0864734000060707,374472704,406093824,374472704
1.1067179999954533,374464512,406093824,374472704
1.1269755999965128,374472704,406093824,374472704
1.1475291999959154,374480896,406093824,374480896
1.168218099992373,374472704,406093824,374480896
1.1888175000058254,374464512,406093824,374480896
1.209216599992942,374497280,406093824,374497280
1.2298181999940425,374509568,406093824,374509568
1.2501859000039985,374513664,406093824,374517760
1.270810000001802,374513664,406093824,374517760
