CRC VERIFIED 446464/2532560 (97.7s)
CRC VERIFIED 450560/2532560 (98.9s)
CRC VERIFIED 454656/2532560 (98.9s)
CRC VERIFIED 458752/2532560 (100.1s)
CRC VERIFIED 462848/2532560 (100.1s)
CRC VERIFIED 466944/2532560 (101.3s)
CRC VERIFIED 471040/2532560 (102.5s)
CRC VERIFIED 475136/2532560 (103.7s)
CRC VERIFIED 479232/2532560 (103.7s)
CRC VERIFIED 483328/2532560 (104.9s)
CRC VERIFIED 487424/2532560 (106.0s)
CRC VERIFIED 491520/2532560 (107.2s)
CRC VERIFIED 495616/2532560 (108.5s)
CRC VERIFIED 499712/2532560 (109.6s)
CRC VERIFIED 503808/2532560 (110.8s)
CRC VERIFIED 507904/2532560 (110.8s)
CRC VERIFIED 512000/2532560 (110.8s)
CRC VERIFIED 516096/2532560 (110.9s)
CRC VERIFIED 520192/2532560 (112.1s)
CRC VERIFIED 524288/2532560 (113.2s)
CRC VERIFIED 528384/2532560 (114.4s)
CRC VERIFIED 532480/2532560 (115.6s)
CRC VERIFIED 536576/2532560 (116.8s)
CRC VERIFIED 540672/2532560 (118.0s)
CRC VERIFIED 544768/2532560 (119.2s)
CRC VERIFIED 548864/2532560 (120.4s)
CRC VERIFIED 552960/2532560 (121.6s)
CRC VERIFIED 557056/2532560 (122.8s)
CRC VERIFIED 561152/2532560 (124.0s)
CRC VERIFIED 565248/2532560 (125.2s)
CRC VERIFIED 569344/2532560 (126.4s)
CRC VERIFIED 573440/2532560 (127.6s)
CRC VERIFIED 577536/2532560 (128.8s)
CRC VERIFIED 581632/2532560 (130.0s)
CRC VERIFIED 585728/2532560 (131.2s)
CRC VERIFIED 589824/2532560 (132.4s)
CRC VERIFIED 593920/2532560 (133.6s)
CRC VERIFIED 598016/2532560 (134.8s)
CRC VERIFIED 602112/2532560 (136.0s)
CRC VERIFIED 606208/2532560 (137.2s)
CRC VERIFIED 610304/2532560 (138.4s)
CRC VERIFIED 614400/2532560 (139.6s)
CRC VERIFIED 618496/2532560 (140.8s)
CRC VERIFIED 622592/2532560 (142.0s)
CRC VERIFIED 626688/2532560 (143.2s)
CRC VERIFIED 630784/2532560 (144.4s)
CRC VERIFIED 634880/2532560 (145.6s)
CRC VERIFIED 638976/2532560 (146.8s)
CRC VERIFIED 643072/2532560 (148.0s)
CRC VERIFIED 647168/2532560 (149.2s)
CRC VERIFIED 651264/2532560 (150.4s)
CRC VERIFIED 655360/2532560 (151.5s)
CRC VERIFIED 659456/2532560 (152.8s)
CRC VERIFIED 663552/2532560 (154.0s)
CRC VERIFIED 667648/2532560 (155.1s)
CRC VERIFIED 671744/2532560 (156.3s)
CRC VERIFIED 675840/2532560 (157.5s)
CRC VERIFIED 679936/2532560 (158.7s)
CRC VERIFIED 684032/2532560 (159.9s)
CRC VERIFIED 688128/2532560 (161.1s)
CRC VERIFIED 692224/2532560 (162.3s)
CRC VERIFIED 696320/2532560 (163.5s)
CRC VERIFIED 700416/2532560 (164.7s)
CRC VERIFIED 704512/2532560 (165.9s)
CRC VERIFIED 708608/2532560 (167.1s)
CRC VERIFIED 712704/2532560 (168.3s)
CRC VERIFIED 716800/2532560 (169.5s)
CRC VERIFIED 720896/2532560 (170.7s)
CRC VERIFIED 724992/2532560 (171.9s)
CRC VERIFIED 729088/2532560 (173.0s)
CRC VERIFIED 733184/2532560 (174.3s)
CRC VERIFIED 737280/2532560 (175.5s)
CRC VERIFIED 741376/2532560 (176.7s)
CRC VERIFIED 745472/2532560 (177.9s)
CRC VERIFIED 749568/2532560 (179.1s)
CRC VERIFIED 753664/2532560 (180.3s)
CRC VERIFIED 757760/2532560 (181.5s)
CRC VERIFIED 761856/2532560 (182.7s)
CRC VERIFIED 765952/2532560 (182.7s)
CRC VERIFIED 770048/2532560 (183.9s)
CRC VERIFIED 774144/2532560 (185.1s)
CRC VERIFIED 778240/2532560 (186.3s)
CRC VERIFIED 782336/2532560 (187.5s)
CRC VERIFIED 786432/2532560 (188.7s)
CRC VERIFIED 790528/2532560 (189.9s)
CRC VERIFIED 794624/2532560 (191.1s)
CRC VERIFIED 798720/2532560 (192.3s)
CRC VERIFIED 802816/2532560 (193.5s)
CRC VERIFIED 806912/2532560 (194.7s)
CRC VERIFIED 811008/2532560 (195.9s)
CRC VERIFIED 815104/2532560 (197.1s)
CRC VERIFIED 819200/2532560 (198.3s)
CRC VERIFIED 823296/2532560 (199.5s)
CRC VERIFIED 827392/2532560 (200.7s)
CRC VERIFIED 831488/2532560 (201.9s)
CRC VERIFIED 835584/2532560 (203.1s)
CRC VERIFIED 839680/2532560 (204.3s)
CRC VERIFIED 843776/2532560 (205.5s)
CRC VERIFIED 847872/2532560 (206.7s)
CRC VERIFIED 851968/2532560 (207.9s)
CRC VERIFIED 856064/2532560 (209.1s)
CRC VERIFIED 860160/2532560 (210.3s)
CRC VERIFIED 864256/2532560 (211.5s)
CRC VERIFIED 868352/2532560 (212.7s)
CRC VERIFIED 872448/2532560 (213.9s)
CRC VERIFIED 876544/2532560 (215.0s)
CRC VERIFIED 880640/2532560 (216.2s)
CRC VERIFIED 884736/2532560 (217.4s)
CRC VERIFIED 888832/2532560 (218.6s)
CRC VERIFIED 892928/2532560 (219.8s)
RAM REUSE VERIFIED 892928
RAM REUSE VERIFIED 897024
RAM REUSE VERIFIED 901120
RAM REUSE VERIFIED 905216
RAM REUSE VERIFIED 909312
RAM REUSE VERIFIED 913408
RAM REUSE VERIFIED 917504
RAM REUSE VERIFIED 921600
RAM REUSE VERIFIED 925696
RAM REUSE VERIFIED 929792
CRC VERIFIED 937984/2532560 (221.6s)
CRC VERIFIED 942080/2532560 (222.8s)
CRC VERIFIED 946176/2532560 (224.0s)
CRC VERIFIED 950272/2532560 (225.2s)
CRC VERIFIED 954368/2532560 (226.4s)
CRC VERIFIED 958464/2532560 (227.6s)
CRC VERIFIED 962560/2532560 (228.8s)
CRC VERIFIED 966656/2532560 (230.0s)
RAM REUSE VERIFIED 966656
RAM REUSE VERIFIED 970752
RAM REUSE VERIFIED 974848
CRC VERIFIED 983040/2532560 (231.4s)
CRC VERIFIED 987136/2532560 (232.6s)
CRC VERIFIED 991232/2532560 (233.8s)
CRC VERIFIED 995328/2532560 (235.0s)
CRC VERIFIED 999424/2532560 (236.2s)
CRC VERIFIED 1003520/2532560 (237.4s)
CRC VERIFIED 1007616/2532560 (238.6s)
CRC VERIFIED 1011712/2532560 (239.8s)
CRC VERIFIED 1015808/2532560 (241.0s)
CRC VERIFIED 1019904/2532560 (242.2s)
CRC VERIFIED 1024000/2532560 (243.4s)
CRC VERIFIED 1028096/2532560 (244.6s)
CRC VERIFIED 1032192/2532560 (245.8s)
CRC VERIFIED 1036288/2532560 (247.0s)
CRC VERIFIED 1040384/2532560 (248.2s)
CRC VERIFIED 1044480/2532560 (249.4s)
CRC VERIFIED 1048576/2532560 (250.5s)
CRC VERIFIED 1052672/2532560 (251.7s)
CRC VERIFIED 1056768/2532560 (252.9s)
CRC VERIFIED 1060864/2532560 (254.1s)
CRC VERIFIED 1064960/2532560 (255.3s)
CRC VERIFIED 1069056/2532560 (256.5s)
CRC VERIFIED 1073152/2532560 (257.7s)
CRC VERIFIED 1077248/2532560 (258.9s)
CRC VERIFIED 1081344/2532560 (260.1s)
CRC VERIFIED 1085440/2532560 (261.3s)
CRC VERIFIED 1089536/2532560 (262.5s)
CRC VERIFIED 1093632/2532560 (263.7s)
CRC VERIFIED 1097728/2532560 (264.9s)
CRC VERIFIED 1101824/2532560 (266.1s)
CRC VERIFIED 1105920/2532560 (267.3s)
